,Date
0,1
1,6
2,9
3,13
4,14
5,15
6,16
7,20
8,21
9,22
10,23
11,27
12,29
13,30
14,34
15,62
16,63
17,65
18,70
19,72
20,77
21,78
22,79
23,91
24,92
25,97
26,98
27,99
28,100
29,103
30,104
31,105
32,106
33,107
34,110
35,111
36,112
37,113
38,114
39,117
40,118
41,119
42,120
43,121
44,124
45,125
46,126
47,127
48,128
49,131
50,132
51,133
52,134
53,135
54,138
55,139
56,141
57,142
58,146
59,147
60,148
61,149
62,152
63,153
64,154
65,155
66,161
67,169
68,170
69,174
70,175
71,176
72,181
73,182
74,191
75,195
76,196
77,197
78,202
79,280
80,281
81,282
82,286
83,287
84,302
85,303
86,307
87,314
88,330
89,335
90,344
91,363
92,364
93,365
94,366
95,377
96,378
97,379
98,380
99,385
100,387
101,391
102,428
103,433
104,434
105,510
106,527
107,533
108,561
109,568
110,569
111,572
112,573
113,574
114,576
115,581
116,583
117,587
118,590
119,593
120,594
121,595
122,596
123,597
124,602
125,603
126,608
127,614
128,616
129,618
130,623
131,624
132,625
133,628
134,629
135,630
136,631
137,635
138,638
139,639
140,644
141,650
142,651
143,652
144,653
145,658
146,659
147,664
148,666
149,693
150,709
151,800
152,898
153,982
154,989
155,1080
156,1164
157,1261
158,1262
159,1265
160,1269
161,1353
162,1444
163,1489
164,1535
165,1717
166,1742
167,1743
168,1744
169,1805
170,1806
171,1807
172,1808
173,1899
174,1997
175,2053
176,2056
177,2057
178,2058
179,2059
180,2081
181,2121
182,2172
183,2192
184,2197
185,2198
186,2199
187,2200
188,2204
189,2205
190,2206
191,2207
192,2212
193,2213
194,2214
195,2219
196,2220
197,2221
198,2224
199,2225
200,2227
201,2228
202,2233
203,2246
204,2248
205,2249
206,2252
207,2263
208,2305
209,2354
210,2361
211,2364
212,2445
213,2499
214,2500
215,2501
216,2504
217,2520
218,2521
219,2536
220,2627
221,2718
222,2725
223,2809
224,2885
225,2900
226,2952
227,2953
228,2955
229,2956
230,2991
231,3082
232,3089
233,3180
234,3200
235,3213
236,3215
237,3219
238,3220
239,3221
240,3256
241,3269
242,3270
243,3271
244,3312
245,3355
246,3453
247,3460
248,3494
249,3544
250,3635
